month,temp_ave,temp_min,temp_max
1,28,19,35
2,28,22.8,35
3,27.8,22.15,35
4,26,22.2,34
5,25,19,32.15
6,24.75,17.9,32
7,24,18,32
8,24,17.85,33
9,25,17,33
10,25.4,18,33.1
11,27,21,35
12,27.9,20,34
